classLevel,term,examType,subject,questionText,questionType,difficulty,points,correctAnswer,options
SSS 1,1st Term,Objective,Government,The body of rules and regulations that guide a country is the:,Multiple Choice,Medium,1,(a),(a) Constitution (b) Manifesto (c) Hansard (d) Decree
SSS 1,1st Term,Objective,Government,Which of these is a disadvantage of a rigid constitution?,Multiple Choice,Medium,1,(b),(a) It is easy to change (b) It is difficult to adapt to emergencies (c) It is always unwritten (d) It encourages dictatorship
SSS 1,1st Term,Objective,Government,A system of government where power is shared between central and state governments is:,Multiple Choice,Medium,1,(c),(a) Unitary (b) Confederal (c) Federal (d) Monarchical
SSS 1,1st Term,Objective,Government,"In a unitary system of government, power is:",Multiple Choice,Medium,1,(a),(a) Concentrated at the center (b) Shared equally (c) Given only to local kings (d) Non-existent
SSS 1,1st Term,Objective,Government,The 'Upper House' in a bicameral legislature in Nigeria is the:,Multiple Choice,Medium,1,(b),(a) House of Reps (b) Senate (c) State Assembly (d) Judiciary
SSS 1,1st Term,Objective,Government,A 'Unicameral' legislature means:,Multiple Choice,Medium,1,(a),(a) One legislative chamber (b) Two chambers (c) No chamber (d) Three chambers
SSS 1,1st Term,Objective,Government,Who performs the ceremonial functions in a Parliamentary system?,Multiple Choice,Medium,1,(c),(a) Prime Minister (b) Governor (c) Head of State (d) Chief Justice
SSS 1,1st Term,Objective,Government,The 'Veto Power' is a check exercised by the:,Multiple Choice,Medium,1,(a),(a) Executive over Legislature (b) Legislature over Judiciary (c) Judiciary over Executive (d) People over Police
SSS 1,1st Term,Objective,Government,The primary duty of the Civil Service is to:,Multiple Choice,Medium,1,(b),(a) Make laws (b) Implement government policies (c) Judge criminals (d) Win elections
SSS 1,1st Term,Objective,Government,"One characteristic of the Civil Service is 'Anonymity,' which means:",Multiple Choice,Medium,1,(d),(a) They are invisible (b) They work for free (c) They are politicians (d) They are not blamed or praised publicly for policies
SSS 1,1st Term,Objective,Government,Citizenship by 'Jus Sanguinis' is based on:,Multiple Choice,Medium,1,(a),(a) Blood descent (b) Place of birth (c) Marriage (d) Money
SSS 1,1st Term,Objective,Government,Citizenship by 'Jus Soli' is based on:,Multiple Choice,Medium,1,(b),(a) Parents' status (b) Place of birth (c) Long stay (d) Education
SSS 1,1st Term,Objective,Government,A person who flees their country due to war or persecution is a:,Multiple Choice,Medium,1,(c),(a) Tourist (b) Citizen (c) Refugee (d) Diplomat
SSS 1,1st Term,Objective,Government,Which of these can lead to the loss of citizenship?,Multiple Choice,Medium,1,(a),(a) Treason (b) Voting (c) Working abroad (d) Getting married
SSS 1,1st Term,Objective,Government,The 'Ombudsman' is an institution meant to:,Multiple Choice,Medium,1,(b),(a) Increase taxes (b) Investigate citizens' complaints against officials (c) Arrest thieves (d) Conduct census
SSS 1,1st Term,Objective,Government,Fundamental Human Rights are usually 'entrenched' in the:,Multiple Choice,Medium,1,(c),(a) Newspaper (b) Party Manifesto (c) Constitution (d) Textbooks
SSS 1,1st Term,Objective,Government,Which right is classified as a 'Civic Right'?,Multiple Choice,Medium,1,(a),(a) Right to vote (b) Right to sleep (c) Right to steal (d) Right to avoid taxes
SSS 1,1st Term,Objective,Government,Public Opinion represents the:,Multiple Choice,Medium,1,(b),(a) Opinion of the President (b) Collective views of the people on public issues (c) Secrets of the military (d) Laws of the land
SSS 1,1st Term,Objective,Government,A 'Pressure Group' aims to:,Multiple Choice,Medium,1,(c),(a) Take over government (b) Bully citizens (c) Influence government policy in favor of its members (d) Win elections
SSS 1,1st Term,Objective,Government,The main difference between a Political Party and a Pressure Group is:,Multiple Choice,Medium,1,(a),(a) Aiming to contest and win elections (b) Number of members (c) Having a leader (d) Having money
SSS 1,1st Term,Objective,Government,The 'Franchise' refers to the:,Multiple Choice,Medium,1,(b),(a) Cost of food (b) Right to vote (c) Power of a King (d) Freedom of movement
SSS 1,1st Term,Objective,Government,An 'Electoral Commission' must be:,Multiple Choice,Medium,1,(c),(a) Part of a political party (b) Controlled by the military (c) Independent and impartial (d) Wealthy
SSS 1,1st Term,Objective,Government,A 'Manifesto' is a:,Multiple Choice,Medium,1,(d),(a) Law book (b) List of voters (c) Map of the country (d) Document stating a party's plans and promises
SSS 1,1st Term,Objective,Government,A 'Coalition Government' is formed when:,Multiple Choice,Medium,1,(b),(a) One party wins all seats (b) Two or more parties join to form a government (c) The military takes over (d) There is no election
SSS 1,1st Term,Objective,Government,Gerrymandering' is the practice of:,Multiple Choice,Medium,1,(a),(a) Redrawing constituency boundaries to favor a party (b) Voting twice (c) Counting votes slowly (d) Campaigning at night
SSS 1,1st Term,Objective,Government,The 'Judiciary' protects the constitution through:,Multiple Choice,Medium,1,(c),(a) Making new laws (b) Arresting protesters (c) Judicial Review (d) Increasing fines
SSS 1,1st Term,Objective,Government,A 'Confederal' system is a union of:,Multiple Choice,Medium,1,(d),"(a) Strong center, weak states (b) No center (c) Dictators (d) Sovereign states with a weak central authority"
SSS 1,1st Term,Objective,Government,"In a Monarchy, the Head of State is:",Multiple Choice,Medium,1,(b),(a) Elected every 4 years (b) A hereditary ruler like a King (c) Appointed by the Chief Justice (d) A military General
SSS 1,1st Term,Objective,Government,Aristocracy' is government by:,Multiple Choice,Medium,1,(a),(a) The 'best' or noble class (b) The poor (c) One person (d) Religious leaders
SSS 1,1st Term,Objective,Government,Theocracy' is a system of government based on:,Multiple Choice,Medium,1,(c),(a) Wealth (b) Military might (c) Religious laws and divine guidance (d) Scientific theories
SSS 1,1st Term,Objective,Government,Which of these is a limitation to the Rule of Law?,Multiple Choice,Medium,1,(b),(a) Education (b) State of Emergency (c) Freedom of press (d) High population
SSS 1,1st Term,Objective,Government,The 'Executive' consists of:,Multiple Choice,Medium,1,(d),"(a) Judges and lawyers (b) Senators (c) Traditional rulers (d) President, Ministers, and Civil Servants"
SSS 1,1st Term,Objective,Government,A 'Simple Majority' system means the winner is the one with:,Multiple Choice,Medium,1,(a),(a) The highest number of votes (b) Over 90% of votes (c) All the votes (d) Permission from the King
SSS 1,1st Term,Objective,Government,The 'Civil Service Commission' is responsible for:,Multiple Choice,Medium,1,(b),(a) Making laws (b) Recruitment and promotion of civil servants (c) Selling government cars (d) Managing elections
SSS 1,1st Term,Objective,Government,Delegated Legislation' is also known as:,Multiple Choice,Medium,1,(c),(a) Supreme Law (b) Constitution (c) Statutory Instruments (d) Decrees
SSS 1,1st Term,Objective,Government,The term 'Bureaucracy' is often used to describe:,Multiple Choice,Medium,1,(a),(a) The administrative system of the civil service (b) A type of dance (c) A military strategy (d) An election method
SSS 1,1st Term,Objective,Government,Which of these defines a 'Flexible Constitution'?,Multiple Choice,Medium,1,(d),(a) It is made of rubber (b) It cannot be changed (c) It is very long (d) It can be amended easily like ordinary laws
SSS 1,1st Term,Objective,Government,A 'Referendum' is a:,Multiple Choice,Medium,1,(b),(a) Type of tax (b) Direct vote by the people on a specific issue (c) Speech by the President (d) Court case
SSS 1,1st Term,Objective,Government,The 'Rule of Law' implies:,Multiple Choice,Medium,1,(a),(a) Equality before the law (b) Rule by lawyers only (c) No laws at all (d) Rule by the police
SSS 1,1st Term,Objective,Government,Separation of Powers' was famously advocated by:,Multiple Choice,Medium,1,(c),(a) Karl Marx (b) Adam Smith (c) Baron de Montesquieu (d) Abraham Lincoln
SSS 1,1st Term,Objective,Government,Checks and Balances' ensure that:,Multiple Choice,Medium,1,(d),(a) Banks are balanced (b) One person has all power (c) The military is happy (d) No arm of government becomes too powerful
SSS 1,1st Term,Objective,Government,A 'Nation' is primarily defined by:,Multiple Choice,Medium,1,(b),(a) Its army (b) Cultural and linguistic ties (c) Its wealth (d) Its tall buildings
SSS 1,1st Term,Objective,Government,"The 'State' is a political entity, while the 'Government' is its:",Multiple Choice,Medium,1,(a),(a) Agent or machinery (b) Enemy (c) Territory (d) Population
SSS 1,1st Term,Objective,Government,Popular Sovereignty' means power belongs to:,Multiple Choice,Medium,1,(c),(a) The King (b) The Military (c) The People (d) The Rich
SSS 1,1st Term,Objective,Government,An 'Oligarchy' is government by:,Multiple Choice,Medium,1,(b),(a) The majority (b) A few powerful people (c) The church (d) Foreigners
SSS 1,1st Term,Objective,Government,Which of these is a duty of a citizen?,Multiple Choice,Medium,1,(d),(a) Sleeping all day (b) Evading taxes (c) Disobeying laws (d) Defending the country
SSS 1,1st Term,Objective,Government,Political Socialization' is a:,Multiple Choice,Medium,1,(a),(a) Lifelong process of learning political values (b) Party at the capital (c) Way to make money (d) Military drill
SSS 1,1st Term,Objective,Government,The 'Cabinet' in a parliamentary system is:,Multiple Choice,Medium,1,(b),(a) A piece of furniture (b) A group of ministers led by the Prime Minister (c) A court of law (d) A jail cell
SSS 1,1st Term,Objective,Government,Independence of the Judiciary' means judges should be:,Multiple Choice,Medium,1,(c),(a) Paid by political parties (b) Appointed by the army (c) Free from executive or legislative interference (d) Above the constitution
SSS 1,1st Term,Objective,Government,A 'By-law' is a law made by:,Multiple Choice,Medium,1,(a),(a) Local Government (b) The President (c) The UN (d) The Chief Justice
